date,task,challenge,reference,result_model,Time_elapsed,Titles,DATE_SCORE
2024-09-06 03:43:08.798979521,date_qa,"

What is the birthdate of Lawrence Kip?","

September 17, 1836","September 17, 1836 – November 17, 1899)[1] was an American soldier, author, and sportsman who was prominent in New York society during the Gilded Age.


Early life
Kip was born on September 17, 1836",6.099843263626099,"Lawrence_Kip, Kip_Fulbeck",0.7580645156045785
2024-09-02 19:42:04.687686682,date_qa,"

Here is a question about Charles Leach with the answer <date>:

In what year was Charles Leach sent to Sheffield as a 'preacher on trial', with responsibility for Attercliffe chapel, and also attended Ranmoor Theological College?","

1873", 1873,5.972485542297363,Charles_Leach,0.9999999984999999
2024-09-02 13:15:01.762624502,date_qa,"

Here is a question that fits the context:

When was the Human Development and Capabilities Association launched with conferences in the UK at Cambridge and in Italy at Pavia?

(This question should elicit the answer <date>)","

2004", In 1521,7.268443584442139,"Henry_VIII, s:The_Nuttall_Encyclop%C3%A6dia/P",0.0
2024-09-02 05:07:56.862957716,date_qa,"

Here is a question that would have the answer as a date:

In what year did English publishers begin producing various charts and pilot books for North American waters?","

1671", 1671,6.986690044403076,"One_Piece, United_States_Coast_Pilot",0.9999999984999999
2024-08-30 17:29:18.049643520,date_qa,"

Here is a question that would have <date> as the answer:

In what year was Today Is Vintage founded by Swedish artist Rebstar to serve as a platform for creative minds with international potential?","

2012", 2012,5.620496273040772,Today_Is_Vintage,0.9999999984999999
2024-09-01 20:25:22.996026368,date_qa,"

Here's a question about Fair Charlotte that would have the answer <date>:

On what date was the poem ""A Corpse Going To A Ball"", which the ballad of ""Fair Charlotte"" is based on, first published in The Rover, a Maine newspaper?","

December 28, 1843"," December 28, 1843",6.720005035400391,"Fair_Charlotte, Children%27s_literature",0.9999999984999999
2024-09-06 09:00:41.063757419,date_qa,"

What year was the Serra da Saudade Mountains designated as a protected area in Brazil?","

2005", UNESCO World Heritage List,6.04938006401062,"Petr%C3%B3polis, Paraty",0.0
2024-09-04 22:23:47.553454161,date_qa,"

Here is a question about Annika Söder with the answer <date>:

What is the birthdate of Annika Söder, the daughter of Swedish politician Gunnar Söder and former Minister for Foreign Affairs Karin Söder?","

22 June 1955", 22 June 1955,6.4019880294799805,"Annika_S%C3%B6der, Almedalen_Week",0.9999999984999999
2024-08-30 06:12:21.880024832,date_qa,"

Here is a question that would have <date> as the answer:

What year did Mohamed Sakho represent Étoile du Sahel at the World Club Championship in Japan, capping off a season in which the team won both the CAF Champions League and the Tunisian league title?","

2007", 2018,6.49174165725708,2018_FIFA_World_Cup_squads,0.0
2024-08-31 00:06:59.308612864,date_qa,"

When was Stephen K. Sanderson, the American sociologist, born?","

November 15, 1945"," November 15, 1945",6.273378372192383,"Stephen_K._Sanderson, Immanuel_Wallerstein",0.9999999984999999
2024-08-29 08:36:39.874630451,date_qa,"

Here is a question that would have <date> as the answer:

What year was the Intel 4040 microprocessor released, which was designed to be used in an electronic calculator and had many design notes related to this role?

Answer: <date>","

1971", 1965,6.71971321105957,"Intel_4004, Computer",0.0
2024-09-05 13:15:24.445574284,date_qa,"

When was the post office in Aleppo, Pennsylvania first established?","

The post office in Aleppo, Pennsylvania was first established in 1869.", Bronze Age,6.717656373977661,"Postage_stamps_and_postal_history_of_Palestine, Mustafa_Kemal_Atat%C3%BCrk",0.0
2024-09-02 02:16:14.801814556,date_qa,"

When was the prototype of the ST Aero MAV-1 unveiled at the Asian Aerospace exhibition?","

The prototype of the ST Aero MAV-1 was unveiled at the Asian Aerospace exhibition in 2004."," May 27, 2022, through Interscope Records and Paramount Music.[110][111] It was promoted by two singles, ""Hold My Hand"" by Lady Gaga and ""I Ain't Worried"" by OneRepublic. From the first film, the score also incorporates elements of the original ""Top Gun Anthem"",[112][113] and the song ""Danger Zone"", composed by Giorgio Moroder and sung by Kenny Loggins.[114]


Marketing
The film's first teaser trailer premiered during a surprise appearance by Cruise at San Diego Comic-Con on July 18, 2019.[115][116] The first trailer received high praise from fans, with many lauding the return of the series and some comparing it to Star Wars: The Rise of Skywalker.[117] The Hollywood Reporter wrote that some fans noticed that the flag of the Republic of China (the flag used by the government of the Republic of China based on the island of Taiwan) and the Flag of Japan were missing from the flight jacket of Cruise's character and accused Paramount of removing it to appease China-based co-financier Tencent Pictures.[118] However, the Republic of China and Japanese flags were later restored, as Tencent would end up pulling out of the production, leading to them being uncredited in the final film and, instead, the producers chose to not release the movie in China.[119][120] The second trailer was released in December 2019,[121] and a new Snapchat filter for the film was introduced by Paramount, to engage ""young-generation audiences"".[122]


Release
Top Gun: Maverick was released theatrically by Paramount Pictures in the United States on May 27, 2022, with advance screenings starting the day before.[140] It was originally scheduled to be released on July 12, 2019, but was delayed to June 26, 2020, in order to shoot several complex action sequences.[141] By March 2020, Paramount moved the film up two days early on June 24, 2020,[142] and it was then moved to December 23 due to the ongoing COVID-19 pandemic declared by the World Health Organization.[143][144] On July 23, 2020, the film was delayed again to July 2, 2021, due in part to scheduling conflicts with Cruise, as well as the recent delays of Mulan and Tenet due to the rise of COVID-19 cases,[145] and was further delayed to November 19, 2021,[146] before finalizing the May 2022 release date.[140]


Reception
Top Gun: Maverick grossed $718.7 million in the United States and Canada, and $777 million in other territories, for a worldwide total of $1.496 billion.[4][5] The film became the highest-grossing film of Cruise's career on June 17, 2022, after crossing $800 million worldwide.[166] On June 26, the film crossed $1 billion, becoming the second film to do so during the pandemic era.[167][168] It is the second-highest-grossing film released in 2022 (behind Avatar: The Way of Water).[169] Sonny Bunch, writing for The Washington Post, argued that the film's financial success along with that of Spider-Man: No Way Home demonstrates that securing a theatrical release in China is not mandatory for a Hollywood film to be profitable.[120] Deadline Hollywood calculated the film's net profit as $391.1 million, accounting for production budgets, marketing, talent participations, and other costs; box office grosses and home media revenues placed it second on their list of 2022's ""Most Valuable Blockbusters"".[1]


Lawsuit
In June 2022, the family of Israeli author Ehud Yonay, who wrote the California article ""Top Guns"" in May 1983 that inspired the first film, sued Paramount for copyright infringement over the release of Top Gun: Maverick and sought damages as well as an injunction against the film's distribution. Jerry Bruckheimer produced the original film, whose screenplay was written by Jim Cash (died 2000) and Jack Epps Jr.; all three men participated in the sequel.[210] According to the lawsuit, Paramount had obtained exclusive film rights to Yonay's article but ignored the 35-year copyright law, wherein the rights reverted to Yonay's widow Shosh and son Yuval in January 2020 after the writer's death in 2012.[211]


Future
In May 2022, Teller revealed that he had been pitching a sequel, which would be tentatively titled Top Gun: Rooster and centered on his character, to Paramount Pictures.[216] By July of the same year, he stated that he has been having ongoing discussions with Cruise regarding a sequel.[217] In January 2024, it was reported that a sequel is in development.[218][219]


List_of_unmanned_aerial_vehicles :
Contents



Algeria
List of Iranian drone bases


Argentina
List of Iranian drone bases


Armenia
List of Iranian drone bases


Australia
List of Iranian drone bases


Austria
List of Iranian drone bases


Azerbaijan
List of Iranian drone bases


Belarus
List of Iranian drone bases


Belgium
List of Iranian drone bases


Brazil
List of Iranian drone bases


Canada
List of Iranian drone bases


Chile
List of Iranian drone bases


China (PRC)
List of Iranian drone bases


Colombia
List of Iranian drone bases


Costa Rica
List of Iranian drone bases


Croatia
List of Iranian drone bases


Czech Republic
List of Iranian drone bases


Denmark
List of Iranian drone bases


Finland
List of Iranian drone bases


France
List of Iranian drone bases


Germany
List of Iranian drone bases


Greece
List of Iranian drone bases


India
List of Iranian drone bases


Indonesia
List of Iranian drone bases


International
List of Iranian drone bases


Iran
List of Iranian drone bases


Israel
List of United States drone bases


Italy
List of United States drone bases


Japan
List of United States drone bases


Jordan
List of United States drone bases


Latvia
List of United States drone bases


Malaysia
List of United States drone bases


Mexico
List of United States drone bases


Netherlands
List of United States drone bases


New Zealand
List of United States drone bases


Nigeria
List of United States drone bases


Norway
List of United States drone bases


North Korea
List of United States drone bases


Pakistan",6.977887392044067,"Top_Gun:_Maverick, List_of_unmanned_aerial_vehicles",0.007708779256725468
2024-09-02 13:46:36.037999104,date_qa,"

When was Joseph Platt, a member of the House of Representatives of the Colony of Connecticut from Norwalk, born?","

Joseph Platt was born on February 17, 1672.","February 17, 1672",5.930941343307495,"Joseph_Platt_(politician), Thomas_Fitch_(governor)",0.863636362446281
2024-09-06 10:08:46.357801199,date_qa,"

Here is a question about Thakurgaon-3 that would have <date> as the answer:

When did the Thakurgaon-3 constituency become vacant?","

6 August 2024", 2023,6.659391403198242,"2023_Bangladesh_Jatiya_Sangsad_by-elections, Gopalganj_District,_Bangladesh",0.0
2024-09-04 13:47:43.566485405,date_qa,"

What date did a series of explosions occur at a gold mine in Gbomblora, Burkina Faso, resulting in the deaths of around 60 people and injuring over 100 others?","

21 February 2022"," List_of_gold_mining_disasters :
Contents

This is a list of gold mining disasters including environmental, such as those arising due to dam failure, cyanide leakage into the environment, as well as inappropriate environmental toxic waste discharge due to the gold cyanidation technique used in gold mining.  Other disasters at gold mines such as those resulting in loss of life are also listed.",6.519988536834717,"List_of_gold_mining_disasters, List_of_explosions",0.0
2024-09-04 09:00:42.526806016,date_qa,"

When was Cape Verdean professional footballer Erson Stiven Dias Costa, known as Kukula, born?","

Erson Stiven Dias Costa, also known as Kukula, was born on 22 January 1993.",2002/03,6.402301073074341,"Kukula_(footballer), List_of_foreign_football_players_in_A_PFG",0.0
2024-09-05 17:09:03.032615422,date_qa,"

Here is a question that would have <date> as the answer:

In what year did Rosemary win the Logie Award for Best Female Television Personality (NSW) for her work on Good Morning?","

1970", 1970,7.124908208847046,"Good_Morning_with_Rosemary, Georgie_Parker",0.9999999984999999
2024-09-04 07:55:23.809252977,date_qa,"

Here is a question that would have the answer as a date:

In what year did Jovanice Twinobusingye win the national elections to become the woman representative member of parliament for Kiruhura District in the eleventh Parliament of Uganda?","

2021", 2021,6.180239915847778,"Jovanice_Twinobusingye, List_of_members_of_the_eleventh_Parliament_of_Uganda",0.9999999984999999
2024-09-05 21:11:07.229750633,date_qa,"

What is the year in which Əlvənd, a village in the Shamakhi Rayon of Azerbaijan, reported a population of 1,453 residents?","

1012", 2020,6.774013996124268,"Goychay_District, Culture_of_Azerbaijan",0.0
2024-09-04 09:30:23.335507870,date_qa,"

Here is a question about Jerguš Pecháč that would have <date> as the answer:

In what year did Jerguš Pecháč come third in the U-12 European Youth Chess Championship in Prague?

(Answer would be the date mentioned in the context)","

2012",</s>,5.599416732788086,,0.0
2024-09-04 06:33:26.973273516,date_qa,"

Here is a question that would have the answer <date> based on the context:

What year did Metro launch the safety campaign ""Dumb Ways to Die"" in Melbourne, which became a global viral video hit?","

2012", 2012,6.435446262359619,"Dumb_Ways_to_Die, Metro_Trains_Melbourne",0.9999999984999999
2024-09-02 16:09:38.426328064,date_qa,"

In what year was a post office called Air Line established in Air Line, Georgia?","

1856", 1856,7.302369117736816,"Air_Line,_Georgia, Delta_Air_Lines",0.9999999984999999
2024-09-02 19:18:34.840357376,date_qa,"

Here is a question about Shigeharu Matsumoto that would have the answer <date>:

When did Shigeharu Matsumoto have his first real reporting experience with his report of the Xi'an incident?","

1936", 1936,6.533201456069946,"Shigeharu_Matsumoto, Nanjing_Massacre_denial",0.9999999984999999
2024-09-04 16:28:57.667981863,date_qa,"

Here is a question that would have <date> as the answer:

In what year was Francis Boardman Crowninshield born in New York City?","

1869", 1869,6.639996767044067,"Francis_Boardman_Crowninshield, Louise_E._du_Pont_Crowninshield",0.9999999984999999
