date,task,challenge,reference,result_model,Time_elapsed,Titles,DATE_SCORE
2024-09-06 03:43:08.798979521,date_qa,"

What is the birthdate of Lawrence Kip?","

September 17, 1836","September 17, 1836 – November 17, 1899)[1] was an American soldier, author, and sportsman who was prominent in New York society during the Gilded Age.


Early life
Kip was born on September 17, 1836",1.7806541919708252,"Lawrence_Kip, William_Ingraham_Kip",0.7580645156045785
2024-09-02 19:42:04.687686682,date_qa,"

Here is a question about Charles Leach with the answer <date>:

In what year was Charles Leach sent to Sheffield as a 'preacher on trial', with responsibility for Attercliffe chapel, and also attended Ranmoor Theological College?","

1873", 1873,0.9534015655517578,Charles_Leach,0.9999999984999999
2024-09-02 13:15:01.762624502,date_qa,"

Here is a question that fits the context:

When was the Human Development and Capabilities Association launched with conferences in the UK at Cambridge and in Italy at Pavia?

(This question should elicit the answer <date>)","

2004", 2004,1.564103603363037,"Human_Development_and_Capabilities_Association, Electromagnetism",0.9999999984999999
2024-09-02 05:07:56.862957716,date_qa,"

Here is a question that would have the answer as a date:

In what year did English publishers begin producing various charts and pilot books for North American waters?","

1671", 1776,1.602823257446289,"North_American_English, British_North_America",0.0
2024-08-30 17:29:18.049643520,date_qa,"

Here is a question that would have <date> as the answer:

In what year was Today Is Vintage founded by Swedish artist Rebstar to serve as a platform for creative minds with international potential?","

2012", 2012,1.3703012466430664,"Rebstar, Today_Is_Vintage",0.9999999984999999
2024-09-01 20:25:22.996026368,date_qa,"

Here's a question about Fair Charlotte that would have the answer <date>:

On what date was the poem ""A Corpse Going To A Ball"", which the ballad of ""Fair Charlotte"" is based on, first published in The Rover, a Maine newspaper?","

December 28, 1843"," December 28, 1843",1.7048020362854004,"Fair_Charlotte, List_of_American_novelists",0.9999999984999999
2024-09-04 22:23:47.553454161,date_qa,"

Here is a question about Annika Söder with the answer <date>:

What is the birthdate of Annika Söder, the daughter of Swedish politician Gunnar Söder and former Minister for Foreign Affairs Karin Söder?","

22 June 1955", 22 June 1955,1.4325029850006104,"Annika_S%C3%B6der, Category:Swedish_Social_Democratic_Party_politicians",0.9999999984999999
2024-08-30 06:12:21.880024832,date_qa,"

Here is a question that would have <date> as the answer:

What year did Mohamed Sakho represent Étoile du Sahel at the World Club Championship in Japan, capping off a season in which the team won both the CAF Champions League and the Tunisian league title?","

2007", 2007,2.181494951248169,"Mohamed_Sakho, 2018_FIFA_World_Cup_squads",0.9999999984999999
2024-08-31 00:06:59.308612864,date_qa,"

When was Stephen K. Sanderson, the American sociologist, born?","

November 15, 1945"," November 15, 1945",1.5092709064483645,"Stephen_K._Sanderson, Category:American_sociologist_stubs",0.9999999984999999
2024-08-29 08:36:39.874630451,date_qa,"

Here is a question that would have <date> as the answer:

What year was the Intel 4040 microprocessor released, which was designed to be used in an electronic calculator and had many design notes related to this role?

Answer: <date>","

1971", 1975,2.1175453662872314,"Intel_4040, List_of_Intel_processors",0.0
2024-09-05 13:15:24.445574284,date_qa,"

When was the post office in Aleppo, Pennsylvania first established?","

The post office in Aleppo, Pennsylvania was first established in 1869.", 1869,1.4620733261108398,"Aleppo,_Pennsylvania, Aleppo_Township,_Greene_County,_Pennsylvania",0.7545454540495867
