date,task,challenge,reference,result_model,Time_elapsed,Titles
2024-09-06 03:43:08.798979521,date_qa,"

What is the birthdate of Lawrence Kip?","

September 17, 1836",,,
2024-09-02 19:42:04.687686682,date_qa,"

Here is a question about Charles Leach with the answer <date>:

In what year was Charles Leach sent to Sheffield as a 'preacher on trial', with responsibility for Attercliffe chapel, and also attended Ranmoor Theological College?","

1873",,,
2024-09-02 13:15:01.762624502,date_qa,"

Here is a question that fits the context:

When was the Human Development and Capabilities Association launched with conferences in the UK at Cambridge and in Italy at Pavia?

(This question should elicit the answer <date>)","

2004",,,
2024-09-02 05:07:56.862957716,date_qa,"

Here is a question that would have the answer as a date:

In what year did English publishers begin producing various charts and pilot books for North American waters?","

1671",,,
2024-08-30 17:29:18.049643520,date_qa,"

Here is a question that would have <date> as the answer:

In what year was Today Is Vintage founded by Swedish artist Rebstar to serve as a platform for creative minds with international potential?","

2012",,,
2024-09-01 20:25:22.996026368,date_qa,"

Here's a question about Fair Charlotte that would have the answer <date>:

On what date was the poem ""A Corpse Going To A Ball"", which the ballad of ""Fair Charlotte"" is based on, first published in The Rover, a Maine newspaper?","

December 28, 1843",,,
2024-09-06 09:00:41.063757419,date_qa,"

What year was the Serra da Saudade Mountains designated as a protected area in Brazil?","

2005",,,
2024-09-04 22:23:47.553454161,date_qa,"

Here is a question about Annika Söder with the answer <date>:

What is the birthdate of Annika Söder, the daughter of Swedish politician Gunnar Söder and former Minister for Foreign Affairs Karin Söder?","

22 June 1955",,,
2024-08-30 06:12:21.880024832,date_qa,"

Here is a question that would have <date> as the answer:

What year did Mohamed Sakho represent Étoile du Sahel at the World Club Championship in Japan, capping off a season in which the team won both the CAF Champions League and the Tunisian league title?","

2007",,,
2024-08-31 00:06:59.308612864,date_qa,"

When was Stephen K. Sanderson, the American sociologist, born?","

November 15, 1945",,,
